bench		板凳
bend		彎曲;屈身
beside		在...旁邊
best		最好;最好的
better		最好的;最好
between		在...之間
beyond		在...的那邊;在遠處
bicycle		腳踏車;自行車
big		大的;巨大的
bike		腳踏車
bill		帳單;紙幣
bird		鳥
birth		出生;誕生
birthday	生日
bit		一點;吃剩的食物
black		黑色的;黑色
blackboard	黑板
blame		責備;譴責
blanket		毯子;覆蓋
blind		眼睛失明;盲目的
block		方塊;街段;阻塞
blood		血;血統
blow		吹
blue		藍色;藍色的
board		木板;舞台;登上
boat		小船;遊艇
body		身體
boil		煮沸
bone		骨頭
book		書
bookstore	書店
boot		長統靴
boring		無聊的;乏味的
born		出生;誕生
borrow		借用
boss		主管;老闆
both		兩者的;兩者都
bottle		瓶;酒瓶
bottom		底部;底價
bow		弓;鞠躬
bowl		大碗;滾球
box		盒子;箱子
boy		男孩;少年
boyfriend	男朋友
brain		腦;頭腦
brake		剎車
branch		分枝;分部
brave		勇敢的;麵包
break		打破;折斷
breakfast	早餐
breath		氣息;呼吸
breathe		呼吸
brick		磚塊;積木
bridge		橋樑
bright		明亮的;鮮豔的
brilliant	光輝的;聰明的
bring		帶來;拿去
broad		廣大的;明顯的
broadcast	廣播;播送
broken		破碎的
brother		兄弟
brown		棕色;褐色
brush		刷子;刷牙
build		建造
building	建築物
burn		燃燒
burst		爆裂
bus		公車
bush		灌木叢
business	商務;生意
businessman	商人;實業家
busy		繁忙的
but		但是;除..之外
butter		牛油
butterfly	蝴蝶;蝶式
button		鈕扣;按鈕
buy		購買
by		在..旁邊;在..之前
bye		再見
cab		計程車;出租汽車
cable		纜繩;電纜;發電報
cafe		咖啡廳
cage		鳥籠;牢房;骨架
cake		蛋糕
calender	月曆;日曆
call		電話;叫;打電話
camera		照相機
camp		露營
campus		(大學)校園
can		能夠;可以;罐頭
candle		蠟燭;燭光
candy		糖果
cap		帽子
capital		資本;首都;大寫字母
captain		首領;船長;機長
car		汽車
card		卡片;撲克牌
care		憂慮;照顧;關心
careful		仔細的;小心地
carefully	小心地;仔細地
carpenter	木匠;做木工
carry		攜帶;運送
case		事件;盒子;案件
cash		現金
cast		選角;投擲
castle		城堡
cat		貓
catch		捉;抓住;趕上
cause		原因;引起
ceiling		天花板
cent		一分錢
center		中心
centimeter	公分;釐米
central		中心的;主要的
century		世紀;一百年
certain		確實的;確定的
certainly	一定;當然可以
baker		麵包師
banker		銀行家
worker		工人
speaker		演說者
undertaker	承辦人
maker		製造者
dressmaker	女裝裁縫師
shoemaker	鞋匠
blanket		毛毯
bracket		托架;括弧
bucket		水桶
rocket		火箭
pickpocket	扒手
cricket		蟋蟀
thicket		灌木叢
donkey		驢
hockey		曲棍球
turkey		火雞
akin		類似的;同族的
napkin		餐巾
pumpkin		南瓜
ankle		踝
tackle		交鋒
sparkle		迸製出火花;火花
nickle		五分鎳幣
pickle		醃漬物
tickle		使發癢
twinkle		閃爍
sprinkle	撒;灑
wrinkle		起皺;皺紋
beckon		招手;點頭
reckon		計算
misreckon	算錯
lad		少年
salad		沙拉
lap		膝
clap		拍手
flap		拍打;振翅
slap		摑
burglar		竊賊
popular		民眾的;受歡迎的
similar		相似的
cellar		地窖
pillar		柱子
circular	圓形
particular	特別的
regular		規則的
irregular	不規則的
polar		極的
soar		太陽的;往上飛舞
scholar		學者
atlas		地圖集
law		法律
claw		爪
flax		亞麻
relax		放鬆
clay		黏土
slay		殺害
relay		接替;接力賽
display		陳列;展示
bled		流血
fled		逃跑
pled		懇求;辯護
sled		雪橇
flee		逃跑
glee		高興
ruler		尺;統治者
dealer		商人
cooler		冷卻器
cobbler		補鞋匠
miller		磨坊主;製粉業者
roller		滾筒
pollen		花粉
sullen		不高興的
tablet		藥片;平板
toilet		廁所
bracelet	手鐲
pamphlet	小冊子
scarlet		鮮紅的
bullet		子彈
wallet		皮夾;錢包
complex		複雜的
perplex		使困惑
barley		大麥
alley		小巷
pulley		滑輪
trolley		有軌電車;手推車
valley		山谷
volley		齊射
indulge		放縱
overindulge	溺愛
limb		手腳
limp		跛行
garlic		大蒜
relic		遺物
italic		斜體字
frolic		嬉戲
catholic	天主教的
public		公共的;公用的
republic	共和國
lid		蓋子
solid		固體的
eyelid		眼皮
valid		有效的
invalid		無效的
slim		苗條的
prelim		預賽
clip		修剪;夾子
slip		滑
polis		都市國家
metropolis	大都市
flit		輕快地飛
split		分開;裂開
liar		說謊者
familiar	熟悉的
unfamiliar	不熟悉的
peculiar	奇怪的
bulky		龐大的
folky		普通的
milky		乳白色的
silky		絲綢的
ally		結盟
jelly		果醬
silly		愚蠢的
eternally	永恆地
incidentally	偶然地
occasionally	偶爾地
personally	就個人而言
partially	部份地
mechanically	機械地
usually		通常地
universally	普遍地
balmy		溫和的;芬芳的
filmy		似薄膜的;極薄的
palmy		棕櫚的
folly		愚蠢
jolly		愉快的
wholly		完全地
fully		完全地
successfully	成功地
rally		集合
literally	逐字地;正確地
continually	不斷地
eventually	終於;最後
grandually	漸漸地
perpetually	永久地
backlog		存貨
catalog		目錄
nylon		尼龍
salon		沙龍;客廳
gallon		加侖
gallop		奔馳
develop		成長;發展
bachelor	單身漢;學士
counselor	顧問
sailor		水手
tailor		裁縫師
blot		墨漬
plot		陰謀
pilot		飛行員
allot		分配
ballot		選票
flow		流動
glow		熾熱
plow		耕種
below		在下面
overflow	溢出
bellow		吼叫
billow		巨浪
pillow		枕頭
hallow		使神聖
hollow		中空的
mellow		成熟的;老練的
shallow		淺的;膚淺的
wallow		打滾
swallow		燕子
false		錯誤的
pulse		脈動
impulse		衝動
alloy		合金
employ		僱用
cavalry		騎兵
rivalry		競爭
casualty	意外
cruelty		殘酷
difficulty	困難
faculty		能力
loyalty		忠誠
novelty		新穎
penalty		處罰
glue		膠水
value		價值
plum		梅子
asylum		避難所
plus		正數;正數
surplus		過剩的
stimulus	刺激
solve		解決
dissolve	溶解
resolve		決心
involve		捲入;涉入
mad		瘋狂的
nomad		遊牧民
formal		正式的
informal	非正式的
normal		非常的
abnormal	反常的
dismal		憂鬱的
decimal		十進位的;小數的
mammal		哺乳動物
human		人類
Roman		羅馬人
fireman		消防隊員
fisherman	漁夫
freshman	新生
postman		郵差
salesman	推銷員
statesman	政治家
workman		工人
clergyman	牧師;教士
mar		毀損
grammar		文法
mat		墊子
diplomat	外交官
climax		頂點;高潮
anticlimax	虎頭蛇尾
armed		武裝的
arms		武器
famed		著名的
jammed		卡住的
accustomed	習慣的
ashamed		羞愧的
camel		駱駝
enamel		瓷釉;琺瑯
omen		預兆
abdomen		腹部
specimen	樣品
primer		初學者;入門書
steamer		汽船
newcomer	新手
hammer		鐵鎚
stammer		口吃
midsummer	仲夏
mercy		慈悲
mercury		水銀
customer	顧客
astronomer	天文學家
comet		慧星
helmet		頭盔;鋼盔;安全帽
comic		滑稽的
economic	經濟的
epidemic	流行病;流行性的
academic	學術的
amid		在…之間
pyramid		金字塔
timid		膽小的
emit		發出
admit		承認
limit		限制
omit		省略
vomit		嘔吐
submit		服從
transmit	傳送
commit		犯罪
summit		峰頂
hermit		隱士
permit		允許
lemon		檸檬
salmon		鮭魚
sermon		訓示;佈道
monk		和尚
mono		單音
summon		召集;傳喚
common		共同的;普通的
uncommon	罕見的;不尋常的
mob		暴民
mop		拖把
armor		盔甲
clamor		吵鬧;要求
nymph		女神
triumph		勝利
exempt		免除
prompt		敏捷的
tempt		引誘;吸引
attempt		試圖
contempt	藐視
clumsy		笨拙的
whimsy		異想天開
mud		泥漿
mug		大杯子
mum		無言的
miximum		最大的
minimum		最小的
demur		反對
murmur		發牢騷
canal		運河
cardinal	主要的
journal		日記
original	原始的;最初的
eternal		永久的
external	外面的
internal	內部的
maternal	母親的
paternal	父親的
fraternal	兄弟的
exceptional	例外的
intentional	故意的
international	國際的
rational	合理的
sensational	令人感動的
criminal	犯罪的
terminal	終點的
occasional	偶爾的
professional	職業的;專家
nap		打盹
snap		咬住;厲聲說;劈啪聲
lunar		月亮的;陰曆的
sonar		聲納
gnar		咆哮
gnaw		咬;啃
ounce		盎司
denounce	指責
renounce	放棄
pronounce	發音
convince	使確信
province	省
advance		前進;提昇
allowance	津貼;零用錢
fiance		未婚夫	
defiance	反抗;挑戰
appliance	器具
disturbance	妨害
enhance		提高
nuisance	討人厭的人或事
significance	意義
vengeance	報復;報仇
guidance	指導
abundance	豐富	
accordance	一致
attendance	出席
lance		長矛;槍
glance		一瞥
balance		平衡
resemblance	相似
romance		羅曼史
performance	實行;演出
clearance	清除;清倉大拍賣
fragrance	芳香
ignorance	無知
appearance	出現
remenbrance	記憶
utterance	言辭;語調
temperance	節制
perseverance	忍耐
endurance	忍耐
insurance	保險
acceptance	接受
acquaintance	熟人
admittance	入場許可
importance	重要
inheritance	繼承
repentance	後悔
assistance	幫助
instance	例子
resistance	抵抗
substance	物質
circumstance	環境;情況
countenance	面貌;表情
maintenance	維持
commence	開始
existence	存在
innocence	無辜
prudence	謹慎
residence	住宅
evidence	證據
providence	天意
dependence	依賴
independence	獨立
confidence	信賴
coincidence	同時發生
correspondence	通信
defence		防禦
offence		犯罪
diligence	勤勉
intelligence	情報
patience	忍耐
audience	觀眾;聽眾
conscience	良心
convenience	方便
inconvenience	不便
obedience	服從
disobedience	違抗
eminence	卓越
prominence	卓越;突出物
reverence	尊敬
conference	會議;討論
reference	參考;參照
preference	偏愛
interference	干涉
occurrence	發生
absence		缺席
essence		本質;精髓
presence	出席
consequence	影響;結果
eloquence	雄辯
influence	影響
pinch		捏;擰
ranch		大牧場
quench		熄滅
bunch		串;束
punch		打洞
launch		開始;下水
drench		使濕透
trench		溝
wrench		猛扭
distinct	有區別的
instinct	直覺;本能
fancy		想像;愛好
infancy		幼兒期
vacancy		空白;空虛
currency	貨幣;流通
efficiency	效率
tendency	傾向
agency		代理;作用
emergency	緊急情況
anaconda	巨蟒
propaganda	宣傳
handy		附近的;便利的
sandy		含沙的
windy		刮風的
guinea		基尼(英國舊金幣)
tinea		癬
inclined	傾向的;傾斜的
learned		有學問的
knee		膝蓋
barginee	買主
panel		鏡板;方格板
colonel		陸軍上校
channel		海峽;水道
kennel		狗舍
inner		內部的
miner		礦工
owner		所有人;物主
corner		角落
cleaner		吸塵器
banner		旗;大標題
manner		方式;態度
runner		賽跑者
partner		夥伴
gardener	園丁
mariner		水手
beginner	初學者
foreigner	外國人
stationer	文具店
commissioner	委員
bonnet		女帽
cabinet		櫥櫃;內閣
renew		更新
fire-new	嶄新的
hinge		鉸鏈;關鍵
fringe		邊緣;流蘇
plunge		跳入
sponge		海綿
arrange		安排
exchange	交換
avenge		報復
revenge		報復
challenge	挑戰
tonge		火鉗
tidings		消息
savings		儲金
earnings	收入
mania		狂熱
pneumonia	肺炎
panic		恐慌
tonic		補藥
scenic		風景的
manly		有男子氣概的
heavenly	天堂的
antenna		天線;觸角
dish-antenna	碟形天線
penny		便士
sunny		陽光充足的
tyranny		暴政
annex		附加
annoy		使煩惱;打擾
annual		每年的
canon		大砲
canoe		獨木舟
ninon		尼龍綢
phenomenon	現象
minor		少數的
demeanor	行為
dishonor	不名譽
governor	統治者
knot		結
snot		鼻涕
cleanse		使清潔
response	回答
dense		稠密的;濃的
incense		激怒;焚香
immense		廣大的
dispense	分配
expense		費用
suspense	擔心
recompense	報酬
sense		感覺;意義
nonsense	胡說八道
tense		緊張的
intense		強烈的
avenuse		大街;大道
revenue		收入
continue	繼續
bonus		獎金
minus		減;負的
peanut		花生
walnut		胡桃
coconut		椰子
chestnut	栗子
antonym		反義字
synonym		同義字
toad		蟾蜍
unload		卸下
soak		浸泡
cloak		斗篷
goal		目標
charcoal	木炭
foam		泡沫
roam		漫步
loan		借出
moan		呻吟
groan		呻吟
oar		槳
roar		吼叫
soar		高飛
uproar		吵鬧
oat		燕麥
throat		喉嚨
overcoat	大衣;外套
petticoat	襯裙
robe		長袍
globe		球;地球
brooch		女用胸針
epoch		時代
dock		碼頭
lock		鎖
mock		嘲笑
flock		群
frock		僧袍;長袍
shock		休克;衝擊
deadlock	僵局
peacock		孔雀
soda		蘇打
pagoda		塔
code		法規;暗號
mode		方式
abode		住所
episode		插曲;片斷
explode		爆炸
bloody		流血的
melody		旋律
scoff		嘲笑
apology		道歉
biology		生物學
zoology		動物學
mythology	神話
psychology	心理學
technology	技術
coil		捲;盤繞
foil		箔
toil		辛勞
spoil		寵壞;糟蹋
coin		硬幣
join		加入;連結
loin		腰;腰肉
adjoin		毗連
choir		唱詩班
reservoir	貯水池
adroit		靈巧的
exploit		功績
joke		玩笑
yoke		束縛
choke		使窒息
stroke		打;擊
provoke		激怒;引起
joky		好笑的
choky		窒息的
bold		大膽的
mold		模型
scold		責罵
unfold		展開
manifold	各式各樣的
behold		看
uphold		支撐
household	家庭
threshold	門檻
withhold	保留
mole		錢鼠
role		角色
sole		唯一的
poll		投票
stroll		散步
polo		馬球
solo		單獨表演
bolt		螺釘
revolt		反叛
holy		神聖的
melancholy	憂鬱
monopoly	獨占;專賣
chroma		濃度;色度
diploma		文憑
comb		梳子
tomb		墓
dome		圓頂
Rome		羅馬
income		收入
outcome		結果
overcome	克服
handsome	英俊的
lonesome	寂寞的
tiresome	疲勞的;討厭的
wholesome	有益健康的
troublesome	麻煩的
pomp		華麗
romp		嬉鬧
gloomy		幽暗的
economy		經濟;節約
astronomy	天文學
bond		聯結;契約
respond		回答
correspond	通信;一致
cone		圓錐體
lone		孤單的
tone		音調
zone		地帶;地區
throne		王位
postpone	使延期
backbone	骨幹
gramophone	留聲機
microphone	麥克風
long		長的
prolong		延長
headlong	頭向前地
folk-song	民謠
throng		群眾;群集
wont		慣於
confront	面對;遭遇
pony		小馬
irony		諷刺
agony		痛苦
balcony		陽台
colony		殖民地
symphony	交響樂
ceremony	典禮
harmony		和諧
testimony	證據
stony		多石的
monotony	單調
hood		頭巾
mood		心情
brood		孵蛋;一窩小雞
boyhood		少年
childhood	幼年時代
falsehood	虛偽
livelihood	生活;生計
manhood		成年
neighborhood	附近
blood		血
flood		洪水
hoof		蹄
aloof		分開地
fireproof	防火的
waterproof	防水的
hook		鉤;釣魚鉤
outlook		看法
overlook	鳥瞰;眺望
handbook	手冊
pocketbook	筆記本;袖珍本
textbook	教科書
fool		傻瓜
stool		凳子
boom		隆隆聲
doom		判決
loom		隱約可見
bloom		開花
gloom		幽暗
broom		掃帚
groom		馬伕
bedroom		臥室
bridegroom	新郎
mushroom	蘑菇
schoolroom	教室
boon		恩惠
balloon		氣球
cartoon		卡通
typhoon		颱風
honeymoon	蜜月
loop		圈
stoop		彎腰;屈服
droop		下垂
troop		軍隊
moor		沼澤
indoor		室內的
outdoor		室外的
root		根
soot		煤煙
barefoot	赤腳的
myopia		近視
hyperopia	遠視
utopia		理想國;烏托邦
cope		對付
pope		教宗
scope		範圍
slope		傾斜
europe		歐洲
envelope	信封
coopt		增補~為新成員
adopt		採納
orb		球體
absorb		吸收
afford		給予;買得起
landlord	地主;房東
cord		細繩
accord		一致
concord		一致;協調
discord		不一致
ore		礦石
bore		使厭煩
fore		前面的
gore		凝血
pore		注視
sore		痛的
adore		敬重;祟拜;極喜歡
ashore		在陸上
seashore	海岸
score		分數
snore		打鼾
restore		恢復
drugstore	藥房
deplore		悲悼
explore		探險
implore		懇求
cork		軟木塞
pork		豬肉
stork		鶴
network		網;電腦網路
overwork	過勞
framework	骨架
teamwork	團隊合作
worm		蟲
deform		變形
inform		通知
reform		改革;改良
conform		遵守
perform		履行
platform	台;月台
uniform		制服
transform	改變
acorn		橡樹
adorn		裝飾
scorn		輕視
thorn		刺
forlorn		被遺棄的
stubborn	倔強的;頑強的
newborn		新生的
escort		護衛
resort		付緒於;常去
retort		反駁
short		短的;矮的
seaport		海港
fort		堡壘
effort		努力
comfort		安慰;舒服
discomfort	不舒服
export		輸出
import		輸入
transport	輸送
ivory		象牙
theory		學說;理論
memory		記憶
compulsory	強制的
factory		工廠
victory		勝利
territory	領土
dormitory	宿舍
contradictory	矛盾的
satisfactory	滿意的
laboratory	實驗室
preparatory	準備的
dose		一劑(藥)
hose		軟管
pose		姿勢
prose		散文
loose		寬鬆的
choose		選擇
compose		組成
dispose		處置
expose		暴露
impose		徵(稅);加(負擔)於
oppose		反對
propose		建議
repose		休息
close		關閉
disclose	使露出
enclose		圍住
boss		老闆
moss		苔蘚
toss		拋;扔;投
gross		粗野的;總共的
host		主人
lost		丟失;失敗
boost		從後面推上
ghost		鬼
foremost	最前的
inmost		最內部的
upmost		最高的
uppermost	最高的
utmost		最大的
uttermost	最大的
vote		投票;選擇
devote		專心於
quote		引用
anecdote	趣事
remote		遙遠的
promote		促進
banknote	鈔票
denote		表示
keynote		主音;主旨
otto		玫瑰油
motto		座右銘
blotto		爛醉的
moth		蛾
booth		貨攤
foul		骯髒的
soul		靈魂
noun		名詞
pronoun		代名詞
sour		酸的
tour		旅行
scour		擦;洗滌
devour		吃光
valour		勇氣
humor		幽默
rumor		謠言
pompous		誇張的;豪華的
covetous	渴望的
joyous		快樂的
barbarous	野蠻的
desirous	渴望的
dexterous	敏捷的
disastrous	災難性的
generous	慷慨的
humorous	幽默的
monstrous	怪異的
numerous	許多的
prosperous	繁榮的
vigorous	活潑的
gorgeous	豪華的;極好的
courageous	英勇的
courteous	有禮貌的
righteous	正直的
simultaneous	同時發生的
spontaneous	自然的;自發的
tedious		乏味的
anxious		焦慮的
avaricous	貪婪的
ferocious	兇猛的
gracious	親切的
judicious	明智的
predious	貴重的
spacious	廣闊的
suspicious	懷疑的
vicious		邪惡的
conscious	有知覺的;意識到
unconscious	失去知覺的
delicious	美味的
malicious	有惡意的
religious	宗教的
contagious	接觸傳染性的
pious		虔誠的
impious		不敬的
curious		好奇的
furious		狂怒的;猛烈的
serious		嚴重的
industrious	勤勉的
injurious	有害的
laborious	吃力的;勤奮的
luxurious	奢侈的
mysterious	神秘的
notorious	惡名昭彰的
victorious	勝利的
cautious	小心的
infectious	傳染的
ambitious	有野心的
envious		嫉妒的
obvious		明顯的
previous	以前的
perilous	危險的
populous	人口稠密的
credulous	輕信的
marvelous	令人驚嘆的
jealous		嫉妒的
zealous		熱心的
miraculous	奇蹟的
ridiculous	可笑的
famous		著名的
infamous	不名譽的
enormous	巨大的
unanimous	全體一致的
heinous		兇惡的
luminous	發生的
monotonous	單調的
mountainous	多山的
poisonous	有毒的
voluminous	大量的
ambiguous	含糊不清的
devastate	心力交瘁
bare		裸
nude		裸
sex-appeal	懇求
vulva		女陰	
vagina		陰道
dismay		沮喪
wardrobe	衣櫃
flirt		調情
lesbian		女同志
orgasm		性高潮
confide		吐露
john-thomas	陰莖
swear-off	戒除
dwindle		漸少的
haunt		鬼常出沒於…
thwart		阻撓
domineer	盛氣凌人
decoy		引誘
barely		幾乎沒有
torment		痛苦
underterred	未受阻的
subtly		敏銳的
reciprocal	互相
stun		驚嘆
mortified	窘迫的
miffed		被激的
testicular	睪丸
nonchalant	漠不關心
lament		悲嘆
recruit		徵募
hunky		滿不錯的
fertility	生殖力
disturbed	心亂的
ovulation	排卵期
orchid		蘭花
piss-off	滾開
bugs		瘋狂的
lopsided	傾向一邊的
sperm		精液
dissing		不同意
appointment	正式約會
magnate		大人物
distraught	心煩意亂
fumes		冒煙
wrestling	摔角
testicle	睪丸
implant		植入
clinical	臨床的
belle		美女
account-for	對-負有責任
abortion	墮胎
appalled	驚駭
convete		渴望得到的
barren		不生育的
reprodutively	再生的
challenged	殘障
co-op		合作商店
permanent	永久的
rummage		翻找
upheaval	劇變
to-boot		而且
pique		激怒
clan		氏族
injection	注射
officially	正式的
claustrophobic	患幽閉恐怖症
tease		取笑
intact		完整的
shaky		不堅定
marital		夫妻的
dip		浸泡
give-in		讓步
raring(to)	渴望的
declare		宣告
spill		賤出
secretly	背地裡
monogamy	一夫一妻制
blush		臉紅
feign		假裝
rip		扯
fundraise	資金籌集活動
enrage		使憤怒
protest		抗議
desirable	合意的人
docent		講師
whelm		壓倒
horny		有角的
accessorize	配件(首飾)
bigwig		大亨
pep-talk	鼓勵性講話
juggle		耍戲法
begrudgingly	吝嗇地
underway	進行中
accessory	配件
rendezvous	約會
token		標記
rampage		暴跳
glamor		魅力
gait		步伐
dismount	下車
exuberant	豐富的
incognit	隱性埋名
amorous		色情的
albeit		儘管
seeth		騷動
infidelity	不貞
fellow		同類
unoriginal	模仿的
skeptial	懷疑
baptized	洗禮
relate		敘述
tout		招來
positive	確實的
nutty		瘋狂
cynical		憤世嫉俗
pour		灌注
dedicate	奉獻
faux		假的
destination	目的地
racy		有生氣的
chesty		豐滿的(胸)
asset		財產
mega		許多
thong		皮帶
browse		瀏灠
desperate	情急拼命的
identify-with	參與
identify	認同
opt		選擇
aka		亦稱為;又叫作
session		開會
taboo		禁忌
donut		甜甜圈
alert		警告
concentrate	集中專心
risque		近乎淫猥
accuses		控告
judgmental	不客觀的判定
punchy		強而有力的
charismatic	有魅力的
neglected	忽視的
splurge		揮霍
assiduous	勤勉的
conspicuous	顯著的
contemptuous	藐視的
continuous	連續的
ingenuous	率直的
strenuous	努力的
superfluous	多餘的
virtuous	有道德的
grievous	可悲的
nervous		神經質的
mischievous	淘氣的
scout		偵察;嘲弄
stout		矮胖的
trout		鱒魚
throughout	到處地
dove		鴿子
rove		徘徊
glove		手套
grove		小樹林
stove		火爐
remove		去掉
prove		證明
improve		改進
reprove		責備
owe		欠(債)
howe		中空的
fowl		家禽
howl		嗥叫
growl		咆哮
gown		長袍;睡袍
frown		皺眉
renown		名聲
breakdown	損壞
unknown		不知名的
showy		豔麗的;顯著的
snowy		下雪的
pad		襯墊
pat		輕拍
paw		腳掌
pan		平底鍋
span		橫跨
repay		償還
prepay		預付
expel		驅逐
repel		擊退
chapel		禮拜堂
compel		強迫
gospel		福音;真理
ripen		使成熟
deepen		加深
sharpen		使銳利
per		每次;經由
taper		使成錐形
temper		性情
prosper		繁榮
improper	不適當的
whisper		耳語
keeper		監視員;管理人
housekeeper	女管家
copper		銅幣
pepper		胡椒粉
slipper		拖鞋
worshipper	崇拜者
carpet		地毯
trumpet		喇叭
apostrophe	省略符號
catastrophe	大災難
trophy		紀念品
philosophy	哲學
biography	傳記
autobiography	自傳
rapid		迅速的
stupid		笨的;笨蛋
pit		坑
spit		吐
couple		一對
scurple		顧忌
purple		紫色
staple		主要的
steeple		尖塔
multiple	多樣的
triple		三倍的
ample		充足的
sample		樣品
trample		踩踏
temple		寺廟
disciple	信徒
principle	原則
ripple		漣漪
cripple		殘廢的人
ply		定期往返於
imply		暗示
comply		遵從
apply		應用
multiply	乘;倍增
poem		詩
poet		詩人
coupon		優待券
weapon		武器
lollipop	棒棒糖
stupor		不省人事
vapor		水蒸氣
depot		倉庫;車站
despot		暴君
corpse		屍體
eclipse		(日月)蝕
glimpse		一瞥
lapse		流逝
elapse		過去
collapse	倒塌
depth		深度
in-depth	深入的
campuse		校園
corpus		文集
antique		古代的
opaque		不透明的
unique		唯一的
technique	技術
picturesque	圖畫般的
crab		螃蟹
grab		攫取
rag		破布
drag		拖;拉
admiral		海軍上將
cathedral	大教堂
funeral		儀
literal		照字面的
mineral		礦物的
numeral		數的;數字
coral		珊瑚
moral		道德
central		中心的
neutral		中立的
rural		農村的
plural		複數的
natural		自然的
unnatural	不自然的
supernatural	超自然的
cultural	文化的
agricultural	農業的
gram		克
tram		市街電車
bran		糠
veteran		老手
rap		敲
trap		陷阱
wrap		包
scrap		小片;碎片
strap		皮帶
raw		生的
withdraw	撤回
pray		祈禱
tray		盤子;托盤
spray		水花
array		打扮
betray		出賣
raid		襲擊
braid		辮子
farce		笑劇;鬧劇
scarce		缺乏的
fierce		兇猛的
pierce		穿過
commerce	商業
divorce		離婚
reinforce	加強
source		來源
resource	資源
perch		棲息
porch		門廊
torch		火炬
scorch		燒焦
arch		拱;拱門
paprch		烘;烤
monarch		君主
research	研究
hardy		吃苦耐勞的
trady		遲到的
sturdy		強健的
decree		法令
degree		程度
disagree	不一致
laurel		月桂樹
barrel		大桶
quarrel		爭吵
squirrel	松鼠
barren		不孕的
brethren	教友
adorer		崇拜者
bearer		持有人
explorer	探險家	
laborer		勞工
murderer	兇手
fret		焦急;煩惱
regret		遺憾
interpret	解釋;翻譯
crew		全體船員
screw		螺絲釘
strew		散播
prey		餌食
storey		樓層
forge		偽造
verge		邊緣
emerge		出現
charge		裝滿;充電
discharge	卸下
enlarge		放大
urge		催促
purge		清除
surge		波濤洶湧
cargo		貨物
undergo		忍受
rib		肋骨
rid		使擺脫
enrich		使富裕
ostrich		鴕鳥
historic	歷史上著名的
prehistoric	史前的
